"CDR_ID","CALLING_MSISDN","CALLED_MSISDN","CALL_START_TIME","CALL_END_TIME","CALL_DURATION_SECONDS","CALL_TYPE","CELL_ID","IMSI","IMEI","CALL_CHARGE"
1,"+251715954634","+251745204891",22-SEP-24 07.25.48.085654000 PM,22-SEP-24 07.47.15.085654000 PM,1287,"International","CELL0001","IMSI000000067810769","IMEI000000373357685",64.35
2,"+251715954634","+251756269363",10-OCT-24 10.08.56.548254000 AM,10-OCT-24 11.00.40.548254000 AM,3104,"Local","CELL0002","IMSI000000824648417","IMEI000000276873618",15.52
3,"+251715954634","+251732041497",01-SEP-24 08.25.57.707359000 PM,01-SEP-24 08.41.23.707359000 PM,926,"International","CELL0003","IMSI000000932279639","IMEI000000442188077",46.3
4,"+251715954634","+251775117184",11-OCT-24 09.58.56.945125000 AM,11-OCT-24 10.02.37.945125000 AM,221,"Local","CELL0004","IMSI000000127189387","IMEI000000629882903",1.11
5,"+251715954634","+251767385590",31-OCT-24 12.07.47.905890000 PM,31-OCT-24 12.17.43.905890000 PM,596,"Roaming","CELL0005","IMSI000000315164695","IMEI000000920564123",17.88
6,"+251715954634","+251775918709",06-SEP-24 04.31.21.430388000 AM,06-SEP-24 05.24.45.430388000 AM,3204,"Roaming","CELL0006","IMSI000000001370095","IMEI000000669456988",96.12
7,"+251715954634","+251731778523",13-NOV-24 10.32.47.304242000 PM,13-NOV-24 11.25.37.304242000 PM,3170,"Local","CELL0007","IMSI000000314166654","IMEI000000033962622",15.85
8,"+251715954634","+251715521024",01-DEC-24 12.24.35.434142000 AM,01-DEC-24 12.59.07.434142000 AM,2072,"National","CELL0008","IMSI000000963961258","IMEI000000437490054",20.72
9,"+251715954634","+251738590628",23-SEP-24 08.09.02.595602000 AM,23-SEP-24 08.40.57.595602000 AM,1915,"Roaming","CELL0009","IMSI000000328864978","IMEI000000513082582",57.45
10,"+251715954634","+251733842899",25-AUG-24 12.52.50.463829000 AM,25-AUG-24 01.45.06.463829000 AM,3136,"National","CELL0010","IMSI000000164578562","IMEI000000705721149",31.36
11,"+251715954634","+251788098228",31-AUG-24 02.01.39.836129000 PM,31-AUG-24 02.06.35.836129000 PM,296,"National","CELL0011","IMSI000000497095362","IMEI000000497113235",2.96
12,"+251715954634","+251749876723",23-OCT-24 07.26.42.455640000 PM,23-OCT-24 07.46.17.455640000 PM,1175,"Roaming","CELL0012","IMSI000000967812242","IMEI000000946347923",35.25
13,"+251715954634","+251720271910",22-OCT-24 08.45.44.874345000 PM,22-OCT-24 09.10.47.874345000 PM,1503,"Local","CELL0013","IMSI000000508475684","IMEI000000001277427",7.52
14,"+251715954634","+251794951302",08-OCT-24 06.30.00.283702000 AM,08-OCT-24 07.21.44.283702000 AM,3104,"International","CELL0014","IMSI000000806537127","IMEI000000866746357",155.2
15,"+251729848446","+251783043903",24-NOV-24 05.30.35.458344000 AM,24-NOV-24 05.45.43.458344000 AM,908,"Roaming","CELL0015","IMSI000000529429276","IMEI000000827394517",27.24
16,"+251729848446","+251767574903",27-NOV-24 11.49.55.930127000 PM,27-NOV-24 11.50.51.930127000 PM,56,"Local","CELL0016","IMSI000000055699517","IMEI000000071305223",0.28
17,"+251729848446","+251716763231",05-OCT-24 10.25.20.264713000 AM,05-OCT-24 11.17.24.264713000 AM,3124,"Local","CELL0017","IMSI000000222884344","IMEI000000331612815",15.62
18,"+251729848446","+251717074589",16-OCT-24 03.38.10.490179000 PM,16-OCT-24 03.51.03.490179000 PM,773,"Local","CELL0018","IMSI000000715960744","IMEI000000392688759",3.87
19,"+251729848446","+251761633704",09-AUG-24 02.34.25.382087000 PM,09-AUG-24 02.41.50.382087000 PM,445,"National","CELL0019","IMSI000000008525854","IMEI000000227722591",4.45
20,"+251729848446","+251724482265",18-AUG-24 07.27.26.181076000 AM,18-AUG-24 08.15.06.181076000 AM,2860,"National","CELL0020","IMSI000000753696474","IMEI000000933849002",28.6
21,"+251729848446","+251795405621",19-SEP-24 12.06.07.960168000 AM,19-SEP-24 12.17.55.960168000 AM,708,"National","CELL0021","IMSI000000643435386","IMEI000000642637211",7.08
22,"+251729848446","+251737655980",01-NOV-24 05.57.51.180323000 PM,01-NOV-24 06.05.04.180323000 PM,433,"National","CELL0022","IMSI000000179837920","IMEI000000372010324",4.33
23,"+251729848446","+251783676003",27-AUG-24 03.42.01.633843000 AM,27-AUG-24 04.39.41.633843000 AM,3460,"Local","CELL0023","IMSI000000286511477","IMEI000000279370617",17.3
24,"+251729848446","+251784609944",07-SEP-24 11.03.11.816577000 AM,07-SEP-24 11.41.42.816577000 AM,2311,"Local","CELL0024","IMSI000000540119129","IMEI000000843240469",11.56
25,"+251729848446","+251711292461",24-OCT-24 08.21.23.854279000 PM,24-OCT-24 08.51.44.854279000 PM,1821,"National","CELL0025","IMSI000000266624458","IMEI000000496189051",18.21
26,"+251735538055","+251707667120",10-MAY-25 06.11.07.484467000 PM,10-MAY-25 06.18.35.484467000 PM,448,"Local","CELL0026","IMSI000000880060563","IMEI000000951185803",2.24
27,"+251735538055","+251774314429",28-MAY-25 07.29.57.935676000 AM,28-MAY-25 07.58.55.935676000 AM,1738,"Roaming","CELL0027","IMSI000000787334614","IMEI000000796413050",52.14
28,"+251735538055","+25172836854.",17-APR-25 03.37.12.652927000 AM,17-APR-25 03.58.51.652927000 AM,1299,"Local","CELL0028","IMSI000000282973643","IMEI000000137596951",6.5
