"CUSTOMER_ID","MSISDN","CUSTOMER_NAME","REGION","ZONE","CITY","REGISTRATION_DATE","CUSTOMER_TYPE","TARIFF_PLAN","ACCOUNT_STATUS"
1951,"+251715954634","Liya Getahun","Oromia","East","Adama",24-AUG-24,"Hybrid","Standard","Active"
1952,"+251729848446","Mulualem Assefa","Amhara","North","Bahir Dar",06-AUG-24,"Prepaid","Premium","Active"
1953,"+251735538055","Nardos Daniel","Tigray","Central","Mekelle",06-FEB-25,"Prepaid","Business","Active"
1954,"+251748669633","Omor Ahmed","SNNPR","Gurage","Wolkite",24-JAN-25,"Prepaid","Student","Active"
1955,"+251752510798","Saba Mesfin","Dire Dawa","City","Dire Dawa",19-JUL-23,"Prepaid","Basic","Active"
1956,"+251764383851","Tedros Kebede","Addis Ababa","Center","Addis Ababa CBD",05-DEC-24,"Prepaid","Standard","Active"
1957,"+251772116645","Urge Teshome","Oromia","East","Adama",16-FEB-24,"Prepaid","Premium","Active"
1958,"+251781056056","Wendimu Michael","Amhara","North","Bahir Dar",24-AUG-25,"Prepaid","Business","Active"
1959,"+251794923432","Yordanos Worku","Tigray","Central","Mekelle",20-DEC-24,"Prepaid","Student","Active"
1960,"+251708589787","Alemayehu Bekele","SNNPR","Gurage","Wolkite",23-OCT-22,"Postpaid","Basic","Suspended"
1961,"+251719746412","Biruk Tesfaye","Dire Dawa","City","Dire Dawa",25-JUN-24,"Hybrid","Standard","Terminated"
1962,"+251725454817","Chaltu Girma","Addis Ababa","Center","Addis Ababa CBD",23-MAY-25,"Prepaid","Premium","Inactive"
1963,"+251736425179","Dereje Haile","Oromia","East","Adama",08-DEC-24,"Prepaid","Business","Active"
1964,"+251743110554","Eleni Solomon","Amhara","North","Bahir Dar",25-DEC-24,"Prepaid","Student","Active"
1965,"+251753552486","Fasil Mengistu","Tigray","Central","Mekelle",26-JUL-25,"Prepaid","Basic","Active"
1966,"+251767621768","Genet Abebe","SNNPR","Gurage","Wolkite",24-AUG-23,"Prepaid","Standard","Active"
1967,"+25177769782.","Habtamu Tadesse","Dire Dawa","City","Dire Dawa",10-DEC-22,"Prepaid","Premium","Active"
1968,"+251787881584","Imani Mohammed","Addis Ababa","Center","Addis Ababa CBD",24-FEB-24,"Prepaid","Business","Active"
1969,"+251796531518","Jemal Hussein","Oromia","East","Adama",30-SEP-22,"Prepaid","Student","Active"
1970,"+251709528752","Kalkidan Yohannes","Amhara","North","Bahir Dar",07-NOV-22,"Postpaid","Basic","Active"
1971,"+251711292461","Liya Getahun","Tigray","Central","Mekelle",18-AUG-24,"Hybrid","Standard","Active"
1972,"+251723641186","Mulualem Assefa","SNNPR","Gurage","Wolkite",06-APR-25,"Prepaid","Premium","Active"
1973,"+251735174385","Nardos Daniel","Dire Dawa","City","Dire Dawa",29-JUN-25,"Prepaid","Business","Active"
1974,"+251742664382","Omor Ahmed","Addis Ababa","Center","Addis Ababa CBD",06-FEB-25,"Prepaid","Student","Active"
1975,"+251759531379","Saba Mesfin","Oromia","East","Adama",06-MAR-25,"Prepaid","Basic","Active"
1976,"+25176795347.","Tedros Kebede","Amhara","North","Bahir Dar",28-APR-25,"Prepaid","Standard","Active"
1977,"+251773086.30","Urge Teshome","Tigray","Central","Mekelle",23-JUL-25,"Prepaid","Premium","Active"
1978,"+251786359877","Wendimu Michael","SNNPR","Gurage","Wolkite",27-MAY-23,"Prepaid","Business","Active"
1979,"+251792813667","Yordanos Worku","Dire Dawa","City","Dire Dawa",08-AUG-23,"Prepaid","Student","Active"
1980,"+251702809621","Alemayehu Bekele","Addis Ababa","Center","Addis Ababa CBD",19-SEP-25,"Postpaid","Basic","Suspended"
1981,"+251715960855","Biruk Tesfaye","Oromia","East","Adama",01-OCT-24,"Hybrid","Standard","Terminated"
1982,"+25172287749.","Chaltu Girma","Amhara","North","Bahir Dar",18-SEP-23,"Prepaid","Premium","Inactive"
1983,"+251733842899","Dereje Haile","Tigray","Central","Mekelle",13-MAY-23,"Prepaid","Business","Active"
1984,"+251741352927","Eleni Solomon","SNNPR","Gurage","Wolkite",25-JUL-25,"Prepaid","Student","Active"
1985,"+251754964322","Fasil Mengistu","Dire Dawa","City","Dire Dawa",13-OCT-22,"Prepaid","Basic","Active"
1986,"+251769673258","Genet Abebe","Addis Ababa","Center","Addis Ababa CBD",22-SEP-24,"Prepaid","Standard","Active"
1987,"+251772858323","Habtamu Tadesse","Oromia","East","Adama",09-MAY-23,"Prepaid","Premium","Active"
1988,"+251788429615","Imani Mohammed","Amhara","North","Bahir Dar",12-APR-24,"Prepaid","Business","Active"
1989,"+251793951399","Jemal Hussein","Tigray","Central","Mekelle",20-MAY-25,"Prepaid","Student","Active"
1990,"+251705451512","Kalkidan Yohannes","SNNPR","Gurage","Wolkite",20-AUG-24,"Postpaid","Basic","Active"
1991,"+251714354244","Liya Getahun","Dire Dawa","City","Dire Dawa",06-DEC-23,"Hybrid","Standard","Active"
1992,"+251724917125","Mulualem Assefa","Addis Ababa","Center","Addis Ababa CBD",23-OCT-23,"Prepaid","Premium","Active"
1993,"+251737284405","Nardos Daniel","Oromia","East","Adama",15-DEC-23,"Prepaid","Business","Active"
