"DATA_ID","MSISDN","SESSION_START_TIME","SESSION_END_TIME","DATA_VOLUME_MB","SERVICE_TYPE","APN","CHARGE_AMOUNT"
1,"+251715954634",27-OCT-24 03.46.40.130127000 AM,27-OCT-24 04.59.06.293449000 AM,7.85,"4G","vpn",0.08
2,"+251715954634",21-OCT-24 08.04.31.734926000 AM,21-OCT-24 09.49.25.228327000 AM,647.3,"4G","mms",6.47
3,"+251715954634",20-NOV-24 12.19.34.871654000 AM,20-NOV-24 01.43.59.617701000 AM,3353.81,"3G","vpn",33.54
4,"+251715954634",05-DEC-24 05.30.14.788762000 PM,05-DEC-24 06.30.01.442677000 PM,4623.56,"4G","mms",46.24
5,"+251729848446",26-AUG-24 05.17.34.372208000 PM,26-AUG-24 06.34.04.299942000 PM,1441.59,"3G","mms",14.42
6,"+251729848446",12-NOV-24 07.31.44.899029000 AM,12-NOV-24 08.48.07.297592000 AM,4723.62,"4G","wapservice",47.24
7,"+251729848446",25-OCT-24 08.52.22.643982000 AM,25-OCT-24 09.58.23.526606000 AM,2156.41,"4G","vpn",21.56
8,"+251729848446",10-NOV-24 03.51.55.851328000 PM,10-NOV-24 03.59.27.663846000 PM,4969.92,"4G","vpn",49.7
9,"+251729848446",24-OCT-24 06.01.26.148742000 PM,24-OCT-24 07.20.54.048089000 PM,4871.82,"2G","wapservice",48.72
10,"+251729848446",12-OCT-24 03.53.28.319451000 AM,12-OCT-24 04.30.39.488453000 AM,2011.04,"4G","mms",20.11
11,"+251729848446",02-SEP-24 03.41.44.721670000 PM,02-SEP-24 04.38.47.938320000 PM,457.63,"4G","vpn",4.58
12,"+251735538055",19-APR-25 01.40.43.267888000 AM,19-APR-25 02.15.17.878055000 AM,4454.72,"3G","internet",44.55
13,"+251735538055",08-MAR-25 06.16.38.298400000 PM,08-MAR-25 08.07.00.463331000 PM,787.79,"4G","mms",7.88
14,"+251735538055",16-MAY-25 01.27.19.048724000 AM,16-MAY-25 02.51.19.061523000 AM,4701.03,"4G","internet",47.01
15,"+251735538055",21-FEB-25 11.55.43.577267000 AM,21-FEB-25 01.05.25.534367000 PM,4741.42,"WiFi","wapservice",47.41
16,"+251748669633",12-MAR-25 10.24.10.416630000 PM,13-MAR-25 12.17.12.926144000 AM,4326.53,"4G","wapservice",43.27
17,"+251748669633",27-MAR-25 09.53.25.947660000 PM,27-MAR-25 10.32.39.020206000 PM,2119.09,"3G","vpn",21.19
18,"+251748669633",09-MAR-25 10.27.07.767709000 AM,09-MAR-25 12.01.59.974487000 PM,2618.05,"4G","internet",26.18
19,"+251752510798",17-OCT-23 03.55.22.822773000 AM,17-OCT-23 05.36.14.678424000 AM,3049.49,"3G","wapservice",30.49
20,"+251752510798",09-OCT-23 08.08.25.376558000 AM,09-OCT-23 09.53.36.169132000 AM,2792.68,"4G","vpn",27.93
21,"+251752510798",01-AUG-23 06.13.19.933921000 AM,01-AUG-23 06.36.29.841645000 AM,4641.57,"4G","internet",46.42
22,"+251752510798",30-JUL-23 03.18.57.089812000 AM,30-JUL-23 04.00.53.306656000 AM,4736.05,"3G","wapservice",47.36
23,"+251752510798",01-OCT-23 12.27.08.133144000 AM,01-OCT-23 01.07.09.282688000 AM,971.46,"4G","internet",9.71
24,"+251752510798",19-AUG-23 07.10.23.180391000 PM,19-AUG-23 08.47.07.418735000 PM,1765.93,"2G","internet",17.66
25,"+251764383851",17-FEB-25 05.56.07.120433000 PM,17-FEB-25 06.35.40.724331000 PM,1936.17,"4G","internet",19.36
26,"+251764383851",24-DEC-24 09.30.04.876202000 PM,24-DEC-24 10.37.21.993825000 PM,1243.72,"3G","mms",12.44
27,"+251764383851",26-DEC-24 11.52.33.140763000 PM,27-DEC-24 01.23.06.555714000 AM,4297.52,"4G","wapservice",42.98
28,"+251764383851",19-MAR-25 12.26.04.841593000 AM,19-MAR-25 01.00.33.728708000 AM,2723.24,"4G","mms",27.23
29,"+251764383851",13-FEB-25 09.35.53.086278000 AM,13-FEB-25 10.16.40.067076000 AM,3076.91,"2G","vpn",30.77
30,"+251764383851",08-MAR-25 06.41.19.009345000 AM,08-MAR-25 08.27.37.276512000 AM,2214.19,"4G","internet",22.14
31,"+251772116645",14-APR-24 01.44.51.690798000 PM,14-APR-24 02.11.09.163714000 PM,2254.28,"2G","wapservice",22.54
32,"+251772116645",29-APR-24 12.23.46.962026000 PM,29-APR-24 01.36.49.453039000 PM,4658.42,"4G","mms",46.58
33,"+251772116645",15-MAY-24 05.07.32.962479000 AM,15-MAY-24 06.54.37.060900000 AM,4319.63,"4G","mms",43.2
34,"+251772116645",25-FEB-24 05.40.24.452602000 PM,25-FEB-24 06.04.38.928423000 PM,3202.7,"4G","wapservice",32.03
35,"+251772116645",13-APR-24 02.41.22.532392000 PM,13-APR-24 03.41.08.892423000 PM,4976.53,"3G","vpn",49.77
36,"+251772116645",16-MAR-24 12.35.40.169795000 AM,16-MAR-24 01.08.19.274688000 AM,3139.87,"4G","vpn",31.4
37,"+251781056056",25-SEP-25 08.01.51.310245000 PM,25-SEP-25 09.33.42.950155000 PM,4350.57,"4G","internet",43.51
38,"+251781056056",21-NOV-25 05.58.05.441542000 PM,21-NOV-25 07.45.45.542107000 PM,312.11,"3G","mms",3.12
39,"+251781056056",29-NOV-25 10.54.15.249235000 AM,29-NOV-25 12.51.26.256577000 PM,958.26,"3G","internet",9.58
40,"+251781056056",15-OCT-25 02.57.51.208379000 AM,15-OCT-25 04.25.25.513283000 AM,4285.96,"4G","internet",42.86
41,"+251794923432",21-JAN-25 10.59.08.837989000 PM,21-JAN-25 11.25.10.890466000 PM,156.47,"4G","wapservice",1.56
42,"+251794923432",22-DEC-24 06.37.54.903791000 PM,22-DEC-24 06.49.42.045001000 PM,3017.26,"3G","mms",30.17
43,"+251794923432",27-MAR-25 02.48.19.326731000 PM,27-MAR-25 03.25.35.480992000 PM,2329.75,"4G","vpn",23.3
44,"+251736425179",13-FEB-25 09.05.53.848075000 AM,13-FEB-25 11.04.54.368558000 AM,432.24,"3G","vpn",4.32
45,"+251736425179",13-MAR-25 03.40.28.995022000 AM,13-MAR-25 05.37.22.315805000 AM,3834.53,"3G","mms",38.35
46,"+251736425179",10-DEC-24 02.18.20.320957000 AM,10-DEC-24 02.45.28.689091000 AM,209,"4G","vpn",2.09
47,"+251736425179",13-FEB-25 09.09.59.768217000 PM,13-FEB-25 09.28.00.044315000 PM,4895.17,"3G","wapservice",48.95
48,"+251736425179",10-DEC-24 08.17.58.776567000 PM,10-DEC-24 08.22.08.221798000 PM,4844.69,"3G","mms",48.45
49,"+251736425179",06-FEB-25 02.26.33.804912000 PM,06-FEB-25 02.50.49.536300000 PM,1542.05,"WiFi","vpn",15.42
50,"+251736425179",31-DEC-24 05.47.50.814936000 AM,31-DEC-24 06.26.58.150358000 AM,3427.83,"4G","wapservice",34.28
51,"+251736425179",11-MAR-25 02.22.22.298766000 AM,11-MAR-25 02.57.48.647782000 AM,673.69,"3G","vpn",6.74
52,"+251743110554",01-APR-25 08.48.54.771588000 PM,01-APR-25 08.49.57.537602000 PM,3679.22,"4G","vpn",36.79
53,"+251743110554",25-FEB-25 01.35.21.125869000 PM,25-FEB-25 02.25.45.225391000 PM,1750.04,"4G","internet",17.5
54,"+251743110554",29-JAN-25 11.08.23.587431000 AM,29-JAN-25 01.08.14.244274000 PM,1700.77,"2G","wapservice",17.01
55,"+251743110554",09-JAN-25 02.45.21.923325000 PM,09-JAN-25 03.05.05.291975000 PM,460.04,"4G","internet",4.6
56,"+251753552486",24-SEP-25 11.16.52.377076000 PM,25-SEP-25 01.08.41.655053000 AM,2058.41,"4G","mms",20.58
57,"+251753552486",06-AUG-25 06.51.08.720569000 AM,06-AUG-25 07.16.37.236563000 AM,3386.63,"2G","vpn",33.87
58,"+251753552486",29-SEP-25 02.18.14.203723000 PM,29-SEP-25 02.35.05.657146000 PM,2027.18,"3G","vpn",20.27
59,"+251753552486",05-AUG-25 01.48.14.674735000 AM,05-AUG-25 02.00.13.086782000 AM,4790.39,"4G","internet",47.9
60,"+251767621768",29-SEP-23 02.23.55.729417000 PM,29-SEP-23 03.55.32.436770000 PM,926.84,"4G","mms",9.27
61,"+251767621768",14-SEP-23 07.17.06.491951000 PM,14-SEP-23 07.20.09.904118000 PM,3638.14,"4G","internet",36.38
62,"+251767621768",15-OCT-23 07.13.49.370928000 AM,15-OCT-23 08.21.09.947738000 AM,4293.98,"3G","wapservice",42.94
63,"+251767621768",25-NOV-23 03.43.13.435592000 AM,25-NOV-23 04.58.29.791064000 AM,3374.94,"3G","internet",33.75
64,"+251767621768",03-DEC-23 06.09.56.043066000 AM,03-DEC-23 07.53.34.064596000 AM,4708,"3G","internet",47.08
65,"+25177769782.",17-DEC-22 02.39.28.178978000 AM,17-DEC-22 03.44.53.124636000 AM,1448.21,"4G","mms",14.48
66,"+25177769782.",18-DEC-22 12.01.06.520752000 AM,18-DEC-22 01.33.01.100497000 AM,4136.52,"3G","wapservice",41.37
67,"+25177769782.",10-MAR-23 03.58.59.966717000 AM,10-MAR-23 05.00.49.584261000 AM,1211.42,"3G","mms",12.11
68,"+25177769782.",18-FEB-23 06.33.57.363946000 AM,18-FEB-23 08.33.48.944145000 AM,2538.94,"4G","vpn",25.39
69,"+25177769782.",21-JAN-23 05.51.14.449233000 AM,21-JAN-23 06.21.41.315574000 AM,185.56,"4G","internet",1.86
70,"+25177769782.",25-JAN-23 06.50.06.474861000 AM,25-JAN-23 06.56.10.096196000 AM,241.24,"4G","internet",2.41
71,"+25177769782.",26-JAN-23 05.30.41.168233000 PM,26-JAN-23 06.25.07.970275000 PM,2581.24,"4G","vpn",25.81
72,"+251787881584",17-MAY-24 04.43.46.079554000 PM,17-MAY-24 05.51.35.215343000 PM,4254.1,"5G","mms",42.54
73,"+251787881584",09-MAR-24 07.26.41.373645000 PM,09-MAR-24 08.23.47.313215000 PM,58.02,"3G","vpn",0.58
74,"+251787881584",04-MAR-24 02.25.16.577280000 AM,04-MAR-24 03.01.51.426524000 AM,2768.82,"4G","internet",27.69
75,"+251796531518",13-OCT-22 03.51.07.532179000 PM,13-OCT-22 04.45.25.914420000 PM,120.18,"3G","wapservice",1.2
76,"+251796531518",06-JAN-23 09.36.50.496115000 PM,06-JAN-23 09.43.09.289599000 PM,2992.52,"4G","vpn",29.93
77,"+251796531518",16-NOV-22 08.47.18.608907000 PM,16-NOV-22 10.36.12.532288000 PM,933.63,"WiFi","wapservice",9.34
78,"+251796531518",15-NOV-22 03.30.47.879726000 AM,15-NOV-22 03.34.22.070740000 AM,33.07,"4G","internet",0.33
79,"+251796531518",03-JAN-23 04.51.21.460654000 AM,03-JAN-23 06.33.58.040154000 AM,4940.42,"3G","wapservice",49.4
