TRANSACTION_ID,MSISDN,TRANSACTION_TYPE,TRANSACTION_AMOUNT,TRANSACTION_DATE,PAYMENT_METHOD,BALANCE_BEFORE,BALANCE_AFTER
1,2.51716E+11,Payment,251.5,5-Sep-24,Cash,338.44,589.94
2,2.51716E+11,Monthly Bill,226.58,23-Sep-25,Bank Transfer,589.94,363.36
3,2.51716E+11,Payment,208.29,29-Dec-24,Bank Transfer,363.36,571.65
4,2.51716E+11,Monthly Bill,72.57,7-Oct-24,M-PESA,571.65,499.08
5,2.51716E+11,Payment,214.3,25-Jan-26,M-PESA,499.08,713.38
6,2.51716E+11,Monthly Bill,91.27,10-May-25,Cash,713.38,622.11
7,2.51716E+11,Payment,78.22,15-Dec-24,Cash,622.11,700.33
8,2.51716E+11,Monthly Bill,255.81,21-Feb-25,Cash,700.33,444.52
9,2.51716E+11,Payment,155.11,5-Nov-25,Bank Transfer,444.52,599.63
10,2.51716E+11,Monthly Bill,89.22,30-Jun-25,Bank Transfer,599.63,510.41
11,2.51716E+11,Payment,144.13,15-Jul-25,Bank Transfer,510.41,654.54
12,2.51716E+11,Monthly Bill,221.48,12-Oct-25,M-PESA,654.54,433.06
13,2.51716E+11,Adjustment,34.37,14-Nov-25,Bank Transfer,433.06,398.69
14,2.51716E+11,Monthly Bill,109.7,26-Mar-25,Bank Transfer,398.69,288.99
15,2.51716E+11,Payment,74.41,2-May-25,Cash,288.99,363.4
16,2.51716E+11,Top-up,47.47,18-Feb-25,Cash,363.4,410.87
17,2.51716E+11,Payment,297,31-Dec-24,M-PESA,410.87,707.87
18,2.51716E+11,Monthly Bill,164.33,10-Sep-24,M-PESA,707.87,543.54
19,2.51716E+11,Payment,141.94,13-Nov-25,Bank Transfer,543.54,685.48
20,2.51716E+11,Monthly Bill,143.9,20-Sep-25,Bank Transfer,685.48,541.58
21,2.51716E+11,Payment,124.55,16-Jun-25,M-PESA,541.58,666.13
22,2.51716E+11,Monthly Bill,254.22,4-Aug-25,M-PESA,666.13,411.91
23,2.51716E+11,Payment,195.24,31-Jan-25,Cash,411.91,607.15
24,2.51716E+11,Top-up,38.69,21-Nov-25,Bank Transfer,607.15,645.84
25,2.51716E+11,Refund,9.03,19-Feb-25,Cash,645.84,654.87
26,2.51716E+11,Monthly Bill,89.04,20-Oct-24,Bank Transfer,654.87,565.83
27,2.51716E+11,Adjustment,27.38,12-Jul-25,Cash,565.83,538.45
28,2.5173E+11,Payment,56.35,19-Jan-25,Cash,433.17,376.82
29,2.5173E+11,Top-up,451.14,1-Dec-24,M-PESA,376.82,827.96
30,2.5173E+11,Top-up,267.19,19-Nov-25,Cash,827.96,1095.15
31,2.5173E+11,Refund,24.26,23-Sep-24,Bank Transfer,1095.15,1119.41
32,2.5173E+11,Top-up,232.63,23-Feb-25,Cash,1119.41,1352.04
33,2.5173E+11,Top-up,92.64,22-Mar-25,Cash,1352.04,1444.68
34,2.5173E+11,Top-up,327.49,1-Dec-24,Cash,1444.68,1772.17
35,2.5173E+11,Top-up,468.2,3-Mar-25,Cash,1772.17,2240.37
36,2.5173E+11,Top-up,419.24,22-Jun-25,Bank Transfer,2240.37,2659.61
37,2.5173E+11,Top-up,364.8,6-Oct-25,M-PESA,2659.61,3024.41
38,2.5173E+11,Top-up,130.37,11-Jan-26,Cash,3024.41,3154.78
39,2.5173E+11,Refund,41.04,6-May-25,Bank Transfer,3154.78,3195.82
40,2.5173E+11,Top-up,134.03,8-Dec-25,Cash,3195.82,3329.85
41,2.5173E+11,Monthly Bill,31.75,21-Apr-25,Cash,3329.85,3298.1
42,2.5173E+11,Top-up,46.17,21-Nov-25,Cash,3298.1,3344.27
43,2.5173E+11,Payment,83.14,23-Aug-25,Cash,3344.27,3261.13
44,2.5173E+11,Top-up,478.8,11-Sep-25,Bank Transfer,3261.13,3739.93
45,2.5173E+11,Top-up,353,3-Feb-25,Cash,3739.93,4092.93
46,2.5173E+11,Top-up,242.35,20-Dec-25,Cash,4092.93,4335.28
47,2.5173E+11,Top-up,376.6,21-Jan-26,Cash,4335.28,4711.88
48,2.5173E+11,Top-up,379.44,23-Feb-25,Cash,4711.88,5091.32
49,2.5173E+11,Top-up,355.82,6-Dec-25,Cash,5091.32,5447.14
50,2.5173E+11,Top-up,219.69,15-Nov-25,Cash,5447.14,5666.83
51,2.5173E+11,Refund,100.91,6-Sep-25,Bank Transfer,5666.83,5767.74
52,2.5173E+11,Top-up,369.77,16-Oct-25,Cash,5767.74,6137.51
53,2.5173E+11,Top-up,96.95,28-Jun-25,Cash,6137.51,6234.46
54,2.5173E+11,Top-up,498.07,3-Jan-26,M-PESA,6234.46,6732.53
55,2.5173E+11,Top-up,28.98,12-Jan-26,Cash,6732.53,6761.51
56,2.5173E+11,Top-up,406.93,26-Dec-24,M-PESA,6761.51,7168.44
57,2.5173E+11,Top-up,303.67,19-May-25,Cash,7168.44,7472.11
58,2.5173E+11,Top-up,41.72,2-Mar-25,M-PESA,7472.11,7513.83
59,2.5173E+11,Top-up,466.41,30-Jul-25,M-PESA,7513.83,7980.24
60,2.5173E+11,Top-up,264.72,18-Oct-24,Bank Transfer,7980.24,8244.96
61,2.5173E+11,Top-up,242.03,21-Oct-24,Cash,8244.96,8486.99
62,2.5173E+11,Payment,43.48,16-Jan-26,M-PESA,8486.99,8443.51
63,2.5173E+11,Top-up,223.32,2-Feb-25,Bank Transfer,8443.51,8666.83
64,2.5173E+11,Refund,97.71,12-Oct-24,Cash,8666.83,8764.54
65,2.5173E+11,Top-up,171.31,11-Aug-25,Cash,8764.54,8935.85
66,2.5173E+11,Top-up,345.69,4-Dec-24,Bank Transfer,8935.85,9281.54
67,2.5173E+11,Top-up,183.13,19-Aug-24,Bank Transfer,9281.54,9464.67
68,2.5173E+11,Top-up,432.3,4-Dec-24,Bank Transfer,9464.67,9896.97
69,2.5173E+11,Top-up,205.71,27-Jan-25,Cash,9896.97,10102.68
70,2.5173E+11,Top-up,176.25,26-Jul-25,Cash,10102.68,10278.93
71,2.51736E+11,Top-up,73.46,17-Nov-25,Cash,144.54,218
72,2.51736E+11,Top-up,63.78,22-Dec-25,Bank Transfer,218,281.78
73,2.51736E+11,Top-up,264.69,7-Jan-26,Cash,281.78,546.47
74,2.51736E+11,Top-up,344.97,16-Apr-25,Cash,546.47,891.44
75,2.51736E+11,Top-up,270.24,16-Jun-25,M-PESA,891.44,1161.68
76,2.51736E+11,Refund,39.1,6-Dec-25,Cash,1161.68,1200.78
77,2.51736E+11,Top-up,160.14,13-Sep-25,Cash,1200.78,1360.92
78,2.51736E+11,Top-up,69.26,18-Nov-25,Bank Transfer,1360.92,1430.18
79,2.51736E+11,Refund,73.35,12-Jun-25,Bank Transfer,1430.18,1503.53
80,2.51736E+11,Top-up,136.48,22-Aug-25,M-PESA,1503.53,1640.01
81,2.51736E+11,Top-up,15.46,6-Jan-26,Bank Transfer,1640.01,1655.47
82,2.51736E+11,Top-up,380.18,26-Aug-25,M-PESA,1655.47,2035.65
83,2.51736E+11,Top-up,52.58,13-Jun-25,Cash,2035.65,2088.23
84,2.51736E+11,Top-up,320.48,1-Nov-25,Cash,2088.23,2408.71
85,2.51736E+11,Top-up,210.41,7-Jan-26,Cash,2408.71,2619.12
86,2.51736E+11,Top-up,56.13,4-Sep-25,Cash,2619.12,2675.25
87,2.51736E+11,Monthly Bill,24.25,30-Jun-25,Cash,2675.25,2651
88,2.51736E+11,Payment,41.02,16-Sep-25,Cash,2651,2609.98
89,2.51736E+11,Top-up,79.61,29-Dec-25,Cash,2609.98,2689.59
90,2.51736E+11,Adjustment,87.75,18-Nov-25,Cash,2689.59,2777.34
91,2.51736E+11,Top-up,233.28,25-May-25,Bank Transfer,2777.34,3010.62
92,2.51736E+11,Top-up,74.9,28-Nov-25,M-PESA,3010.62,3085.52
93,2.51736E+11,Top-up,182.61,26-Mar-25,Bank Transfer,3085.52,3268.13
94,2.51736E+11,Monthly Bill,24.79,6-Jun-25,M-PESA,3268.13,3243.34
95,2.51736E+11,Top-up,327.07,22-Jun-25,Cash,3243.34,3570.41
96,2.51736E+11,Refund,89.92,20-Feb-25,Cash,3570.41,3660.33
97,2.51736E+11,Top-up,217.38,9-Jul-25,Bank Transfer,3660.33,3877.71
98,2.51736E+11,Refund,22.1,25-Jan-26,Cash,3877.71,3899.81
99,2.51736E+11,Top-up,34.09,29-Apr-25,Cash,3899.81,3933.9
100,2.51736E+11,Top-up,486.33,17-Jun-25,Bank Transfer,3933.9,4420.23
101,2.51736E+11,Top-up,255.24,19-Nov-25,Cash,4420.23,4675.47
102,2.51736E+11,Top-up,74.21,2-Jul-25,Cash,4675.47,4749.68
103,2.51736E+11,Top-up,433.64,28-Aug-25,M-PESA,4749.68,5183.32
104,2.51736E+11,Refund,33.91,15-Apr-25,M-PESA,5183.32,5217.23
105,2.51736E+11,Top-up,384.3,14-Nov-25,Cash,5217.23,5601.53
106,2.51736E+11,Top-up,196.3,8-May-25,Cash,5601.53,5797.83
107,2.51749E+11,Monthly Bill,56.5,6-Sep-25,Cash,108.39,51.89
108,2.51749E+11,Top-up,81.15,13-Mar-25,Cash,51.89,133.04
109,2.51749E+11,Top-up,435.51,26-Jun-25,Cash,133.04,568.55
110,2.51749E+11,Top-up,292.19,13-Jan-26,Bank Transfer,568.55,860.74
111,2.51749E+11,Top-up,185.86,17-Mar-25,Cash,860.74,1046.6
112,2.51749E+11,Top-up,106.4,4-Jul-25,Cash,1046.6,1153
113,2.51749E+11,Top-up,183.89,27-Dec-25,Bank Transfer,1153,1336.89
114,2.51749E+11,Top-up,378.71,19-Jun-25,Cash,1336.89,1715.6
115,2.51749E+11,Top-up,444.3,15-Dec-25,Cash,1715.6,2159.9
116,2.51749E+11,Top-up,15.44,19-Feb-25,Cash,2159.9,2175.34
