"SMS_ID","SENDER_MSISDN","RECEIVER_MSISDN","SMS_TIMESTAMP","SMS_TYPE","SMS_LENGTH","SMS_CHARGE"
1,"+251715954634","+251709949725",03-SEP-24 10.24.43.393068000 PM,"International",113,0.5
2,"+251715954634","+251747016200",01-NOV-24 06.46.33.983898000 PM,"Local",45,0.1
3,"+251715954634","+251706265996",14-OCT-24 04.20.08.263984000 AM,"Local",60,0.1
4,"+251715954634","+251774080968",06-SEP-24 03.49.41.217075000 AM,"Local",108,0.1
5,"+251729848446","+251725826328",27-NOV-24 07.40.40.182826000 AM,"Local",59,0.1
6,"+251729848446","+251753647837",30-OCT-24 11.13.47.721413000 PM,"Premium",154,1
7,"+251729848446","+251781132692",23-AUG-24 11.38.52.767153000 PM,"Local",109,0.1
8,"+251729848446","+251795442957",17-OCT-24 03.32.15.481622000 PM,"Local",18,0.1
9,"+251735538055","+251756462077",13-MAR-25 11.31.33.652934000 PM,"Premium",34,1
10,"+251735538055","+251748576912",14-FEB-25 01.42.12.843092000 PM,"Local",143,0.1
11,"+251735538055","+251744776115",29-APR-25 02.52.26.145508000 PM,"Local",90,0.1
12,"+251735538055","+251703845620",09-MAY-25 07.56.29.389805000 PM,"Local",158,0.1
13,"+251748669633","+251746000723",26-FEB-25 06.15.25.766833000 AM,"Local",159,0.1
14,"+251748669633","+251798000882",07-FEB-25 04.37.09.760735000 AM,"Local",73,0.1
15,"+251748669633","+251708359167",19-MAY-25 04.13.34.749437000 AM,"Local",146,0.1
16,"+251748669633","+251767386299",18-MAY-25 03.30.46.283664000 PM,"Local",130,0.1
17,"+251752510798","+251783790735",11-NOV-23 05.00.43.807294000 AM,"Local",18,0.1
18,"+251752510798","+251784502027",07-OCT-23 04.47.19.119739000 PM,"Local",108,0.1
19,"+251752510798","+251702827912",21-SEP-23 01.02.13.100466000 PM,"Local",129,0.1
20,"+251764383851","+251774575311",26-JAN-25 07.42.10.846481000 PM,"Local",98,0.1
21,"+251764383851","+251733416992",09-DEC-24 12.49.14.418782000 PM,"Local",135,0.1
22,"+251764383851","+251783039721",02-JAN-25 04.51.30.739713000 AM,"International",152,0.5
23,"+251764383851","+25173431130.",29-DEC-24 07.13.02.809464000 PM,"Local",97,0.1
24,"+251772116645","+251786362754",23-APR-24 08.05.41.001168000 PM,"Local",73,0.1
25,"+251772116645","+251772381840",13-MAY-24 02.22.59.321282000 PM,"Local",110,0.1
26,"+251772116645","+251723160187",01-JUN-24 05.18.17.172133000 AM,"Premium",49,1
27,"+251772116645","+251736398520",11-MAY-24 07.31.20.847611000 AM,"Local",146,0.1
28,"+251781056056","+251759334275",29-OCT-25 12.20.40.279842000 AM,"Local",126,0.1
29,"+251781056056","+251762287191",08-OCT-25 07.00.22.251588000 AM,"Local",120,0.1
30,"+251781056056","+251707979616",12-NOV-25 04.01.34.682603000 AM,"Local",15,0.1
31,"+251781056056","+251764604345",12-OCT-25 09.08.33.011832000 PM,"Local",154,0.1
32,"+251781056056","+251708538052",18-OCT-25 06.26.53.337057000 PM,"Local",95,0.1
33,"+251794923432","+251773091685",07-FEB-25 09.49.28.952071000 AM,"International",144,0.5
34,"+251794923432","+251736805453",23-JAN-25 05.48.35.453967000 PM,"Premium",107,1
35,"+251794923432","+25175514734.",26-MAR-25 04.14.06.489641000 PM,"Local",90,0.1
36,"+251794923432","+25177612122.",01-JAN-25 11.18.15.573117000 PM,"Local",53,0.1
37,"+251736425179","+251751573185",10-MAR-25 07.02.30.263133000 PM,"Local",90,0.1
38,"+251736425179","+251771538376",31-JAN-25 07.06.43.672454000 AM,"Local",159,0.1
39,"+251736425179","+251765634410",26-JAN-25 08.32.39.630785000 PM,"Local",147,0.1
40,"+251736425179","+251775349463",23-DEC-24 01.25.52.151144000 AM,"Local",39,0.1
41,"+251743110554","+251728234587",16-JAN-25 01.25.10.928413000 AM,"Local",65,0.1
